Produkt;Verkäufe;Summe €
Fuze Tea Zitrone;21.0;50,40
Elfx Pro Pods 0,6 Ohm;21.0;312,90
Elfbar Cherry Pods;20.0;239,00
Red Bull Summer Edition;20.0;56,00
Bifi Roll;20.0;54,00
Erotik Pack;20.0;398,00
ELFLIQ Frozen Berries;20.0;239,00
Haribo Pico Balla;20.0;40,00
Trolli Apfelringe;19.0;38,00
Mountain Dew;19.0;47,50
Somersby Apple;19.0;38,00
Elfbar Pods Dragon Fruit Blackberry;19.0;227,05
ELFLIQ Coconut Blueberry;19.0;227,05
Gönrgy Black Acai;18.0;48,60
Takis Buckin Ranch;18.0;63,00
Elfliq Mix Berries;18.0;215,10
Happy Amsterdam Amnezia Haze;18.0;528,10
Corny XL Banane;18.0;27,00
1,5g MeshFlash Preroll;18.0;286,20
Onlygrams PREROLLS Wedding Cake;18.0;476,40
Fanta Exotic;18.0;39,60
Mystery Pack Elektronik;18.0;358,20
MoguMogu Lychee;18.0;48,60
1g Onlygrams Cherry Pie Blüte;18.0;232,20
Red Bull Winter Edition;17.0;47,60
ELFX Pro Schwarz;17.0;508,30
Jack Daniels Lemonade;17.0;66,30
Bounty 2er;17.0;25,50
Zarewitsch Vodka;16.0;40,00
Fanta Orange 0,5l;16.0;35,20
Gönrgy Apfelringe;16.0;43,20
Hitschies Saure Bälle Blau;16.0;40,00
Jack Daniels Berry;16.0;62,40
LYNE Mintstorm;16.0;158,40
M&M Crispy;16.0;24,00
Monster Strawberry Dreams;16.0;43,20
Nutella Go;16.0;40,00
Pfefferminz Likör;16.0;44,80
Trolli Pfirischringe;16.0;32,00
Starbucks Vanille;15.0;43,50
Pablo Superslim;15.0;148,50
Toffifee;15.0;45,00
Mixery Iced Purple;15.0;37,50
Radeberger;15.0;37,50
1g Onlygrams Cookie Blüte;15.0;193,50
Nescafe Capuccino;15.0;40,00
20€ Neuware Pack;15.0;300,00
Gönrgy Paradise Punch Zucker;14.0;37,80
Happy Amsterdam Golden Kush;14.0;400,60
Mixery Bier x Cola;14.0;35,00
Erdbeermilch;14.0;42,00
Nescafe Latte;13.0;32,50
Jim Beam Cola;13.0;50,70
Nescafe Latte Caramel;13.0;32,50
Onlygrams Blueberry Vape;13.0;358,90
Jägermeister klein;13.0;45,50
Belgische Waffel;13.0;26,00
1g Onlygrams Blueberry Muffin;13.0;167,70
Elfbar Grape Ice Pods;13.0;155,35
Elfbar Peach Ice Pods;12.0;143,40
Elfbar 800 Blueberry;12.0;131,40
Jack Daniels Coca Cola Zero;12.0;46,80
Gönrgy Mango Slam Zucker;12.0;32,40
1g Onlygrams Lemon Ice Blüte;12.0;154,80
1g Onlygrams Lucid Dreams Blüte;12.0;154,80
Calypso Kiwi Lemonade;12.0;46,80
ELFLIQ Blackberry Cherry;12.0;143,40
RandM Tornado Pro Silber;12.0;238,80
Toffifee White;12.0;36,00
FREEZES Sour Rainbow;11.0;27,50
Calypso Ocean Blue;11.0;42,90
Maoam Kracher;11.0;16,50
Red Bull Green Edition;11.0;30,80
FREEZES Sharky;11.0;27,50
Happy Amsterdam Cali Exotic;11.0;311,90
Elfbar Frozen Berries Pods;11.0;131,45
Happy Amsterdam Purple Punch;11.0;306,90
Bueno 2er;11.0;16,50
Snickers;11.0;16,50
Skittle Grün;10.0;15,00
Yumyum Chicken Cup;10.0;19,00
Elfbar Blackberry Cherry Pods;10.0;119,50
Pringles Sweet Paprika;10.0;20,00
Calypso Island Wave;10.0;39,00
Gönrgy Kaktus Kick Zucker;10.0;27,00
Onlygrams PREROLLS Kiwi Kush;10.0;279,00
Pringles Sour Cream;10.0;20,00
Happy Amsterdam Super Lemon Haze;9.0;251,10
Elfliq Pink Lemonade;9.0;107,55
Three Sixty Dark Berry;9.0;35,10
Takis Volcano;9.0;31,50
Hitschies Saure BälleRot;9.0;22,50
Skruf Ice Xrta;9.0;89,10
Red Bull Summer Edition 2026;9.0;25,20
Calypso Triple Melon;9.0;35,10
RandM Ice Pop Liquid;9.0;107,55
RandM Grape Ice Pods;9.0;107,55
MeshFlash Peach Cream;9.0;269,10
Flerbar Cherry Cola;9.0;98,55
Elfbar Pink Lemonade Pods;9.0;107,55
Purize Aktivkohlefilter;9.0;80,10
Yfood Choco;9.0;40,50
Pringles Paprika;9.0;18,00
Elfbar 800 Mixed Berries;9.0;98,55
Yumyum Shrimp Cup;9.0;13,50
RandM Strawberry Donut Liquid;8.0;95,60
Onlygrams Wedding Cake Vape;8.0;234,20
KitKat;8.0;12,00
Elfbar Pods Pineapple Acai;8.0;95,60
OG 420 Limited Edition;8.0;179,80
Skittle Rot;8.0;12,00
Feigling;8.0;20,00
Bifi;8.0;8,80
Takis Fuego;8.0;28,00
Onlygrams PREROLLS Pineapple;8.0;223,20
Elfbar 800 Coconut Blueberry;8.0;87,60
Panini Sticker;8.0;20,00
Happy Amsterdam Cherry Kush;8.0;227,20
Fanta Fruit Twist;8.0;16,00
Durex 3er;8.0;47,20
effect Vodka Energy;8.0;28,00
FREEZES Rainbow;8.0;20,00
Labubu White Schokolade;7.0;17,50
Nescafe Espresso Machiatto;7.0;17,50
ELFLIQ Blackberry Lemon;7.0;95,60
Onlygrams Strawberry Cough Prerolls;7.0;195,30
Lipton Sparkling Pfirisch;7.0;14,00
Red Bull Summer Edition 2026 zuckerfrei;7.0;19,60
Happy Amsterdam Forbidden Fruit;7.0;197,30
Elfbar 800 Cherry;7.0;76,65
Fanta Mango Drachenfrucht;7.0;15,40
Kakaomilch;7.0;21,00
Elfbar Pods Pineapple Coconut;7.0;83,65
RandM Pink Lemonade Liquid;7.0;83,65
Elfbar Apple Peach Pods;7.0;83,65
RandM Tropical Energy Liquid;7.0;83,65
Becks 0,5;7.0;20,30
YumYum Chicken;7.0;10,50
Elfbar Mix Berries Pods;7.0;83,65
Siberia White Dry;6.0;59,40
ELFLIQ Pineapple Coconut;6.0;83,65
Mars;6.0;9,00
Mezzo Mix;6.0;13,80
Milka Schokomilch;6.0;18,00
M&M Choco;6.0;9,00
YumYum Duck Cup;6.0;9,00
Onlygrams Blackberry Ice Vape;6.0;179,40
Paulaner Limo Orange;6.0;12,00
RandM Grape Ice Liquid;6.0;71,70
Crazy Dips;6.0;9,00
Elfliq Grape;5.0;59,75
Erdnüsse;5.0;10,00
Kong Crunch Cheese;5.0;17,50
Massiv Zahnstocher Bruderherz;5.0;34,50
Elfliq Sour Apple;5.0;59,75
H3BTA Red Runtz;5.0;129,50
Unbekanntes Produkt im Fach 33 im Automat Classic;5.0;3,10
Elfbar 800 Dragon Fruit Strawberry;5.0;54,75
Hitschies Blaue Schnüre;5.0;12,50
Elfbar Lemon Mint Pods;5.0;59,75
Starbucks Creamy Coffee;5.0;14,50
Hitschies Saure Spinnenbeine;5.0;12,50
Elfbar Blueberry Snoow Pods;5.0;59,75
Hubba Blau;5.0;12,50
Reeses 2er;5.0;8,00
Elfliq Strawberry Raspberry Cherry Ice;5.0;59,75
RandM StrawberryWatermelon Bubblegum Liquid;4.0;47,80
Onlygrams Kiwi Kush Vape;4.0;119,60
RandM Blue Razz Cherry Liquid;4.0;47,80
Elfbar Pods Cola Orange;4.0;47,80
Effect Habibiberry;4.0;10,00
ELFLIQ Cherry Cola;4.0;47,80
Buldak Huhn Scharf;4.0;10,00
ELFLIQ Lemon Mint;4.0;47,80
Hubba Pink;4.0;10,00
Hitschies Saure Drachenzungen Rot;4.0;10,00
ELFLIQ Lemon Peach Passion Fruit;4.0;47,80
Havanna Club Cola;4.0;14,00
Hanuta;4.0;8,00
Elfx Mega Schwarz;4.0;99,60
LYNE Berrypunch;3.0;29,70
24SEVEN Duftbaum Dark Ice;3.0;6,00
Elfliq Peach Ice;3.0;35,85
Berliner Luft;3.0;36,00
M&M Peanut;3.0;4,50
Kong Crunch Blue Flame;3.0;10,50
Elfx Mega Leer Pod 10ML;3.0;29,70
Elfbar Blue Razz Lemonade Pods;3.0;35,85
Elfliq Blackberry Ice;3.0;35,85
Duplo 2er;3.0;4,50
Fanta Lemon Elderflower;3.0;6,60
HighPuffs Mango Bliss Vape;3.0;74,70
Elfbar 800 Strawberry Apricot;3.0;32,85
RandM Cola Ice Liquid;3.0;35,85
Massiv Zahnstocher Nightkiller;3.0;20,70
Elfliq Kiwi Passion Fruit Guava;3.0;35,85
Buldak Huhn Extra Scharf;3.0;7,50
ELFLIQ Watermelon;3.0;35,85
Flerbar Cola Ice;3.0;32,85
Happy Amsterdam Mango Safari;3.0;87,70
Unbekanntes Produkt im Fach 16 im Automat Classic;3.0;44,70
1g H3BTA Blackberry Kush Preroll;2.0;29,80
Daim;2.0;3,00
Elfliq Cherry;2.0;23,90
Mentos Pure Kirsch;2.0;7,00
Jim Beam Cola Zero;2.0;7,80
Calypso Blood Orange Zero;2.0;5,00
Siberia Rot Minis;2.0;15,80
RandM Blue Razz Cherry Pods;2.0;23,90
Starbucks Mocha Delight;2.0;5,80
Yfood Vanille;2.0;9,00
Tabby Chicken Schokolade;2.0;7,80
Elfbar Kiwi Passion Fruit Guava Pods;2.0;23,90
Airwaves Cool Cassis;2.0;7,80
HighPuff OG Kush Vape;2.0;49,80
Onlygrams Frozen Berries Vape;2.0;59,80
Tornado Pro Pods;2.0;29,80
2g Green8 Black Ice;2.0;49,80
YumYum Duck;2.0;3,00
Unbekanntes Produkt im Fach 36 im Automat Classic;2.0;1,00
Onlygrams Dragon Fruit Blackberry Vape;2.0;59,80
RandM Mango Ice Liquid;2.0;23,90
Paulberger Peach;2.0;5,00
RandM StrawberryWatermelon Liquid;2.0;23,90
Massiv Sommer in Beirut Zahnstocher;2.0;13,80
Massiv Blaulicht Zahnstocher;2.0;13,80
Unbekanntes Produkt im Fach 34 im Automat Classic;1.0;0,10
Mentos Pure Fresh;1.0;3,50
Unbekanntes Produkt im Fach 38 im Automat Classic;1.0;29,90
Unbekanntes Produkt im Fach 51 im Automat Classic;1.0;24,90
Skruf Ice;1.0;9,90
YumYum Beef;1.0;1,50
H3BTA Super Lemon Haze;1.0;24,90
MeshFlash Traube Minze;1.0;29,90
Vodka Gorbatschow;1.0;14,00
4Blockz Black Amnezia;1.0;29,90
4Blockz Berry Kush;1.0;24,90
Extra Professional Fresh;1.0;3,90
RandM Blueberry Pods;1.0;11,95
RandM Love61 Pods;1.0;11,95
2g Green8 Skittlez;1.0;24,90
LYNE Mangosplash;1.0;9,90
Extra Professional White;1.0;3,90
Hitschies Schnüre Grün;1.0;2,50
Wunder Zahnstocher Icebonbon;1.0;4,90
Elfbar 800 Kiwi Passion Fruit Guava;1.0;10,95
