Produkt,Verkäufe/Monat,Umsatz €,Automat VK €,Online-Preis €,Collection
Fuze Tea Pfirisch,23,55.20,2.40,2.25,Getränke
Twix 2er,23,34.50,1.50,1.50,Snacks & Sweets
Doritos SweetPepper,23,57.50,2.50,2.30,Snacks & Sweets
Elfbar Master Black Knight,23,342.70,14.90,13.85,Vapes & Liquids
Manner,23,32.20,1.40,1.40,Snacks & Sweets
Lipton Sparkling Zitrone,23,55.80,2.45,2.30,Getränke
Vio Spritzig,22,44.00,2.00,1.85,Getränke
American Spirit Yellow,22,138.60,6.30,5.85,Tabak & Drehzubehör
Sprite,22,48.40,2.20,2.05,Getränke
Red Bull Peach Import,22,60.10,2.75,2.55,Getränke
RandM Dragonfruit Aloe Freeze Liquid,21,250.95,11.95,11.10,Vapes & Liquids
Takis Nacho,21,73.50,3.50,3.25,Snacks & Sweets
7Days Corissant,21,42.00,2.00,1.85,Snacks & Sweets
Takis Blue Heat,21,73.50,3.50,3.25,Snacks & Sweets
Manner Cookie Mix,21,94.50,4.50,4.20,Snacks & Sweets
Doritos Paprika,21,52.50,2.50,2.30,Snacks & Sweets
Bifi Carazza,21,56.70,2.70,2.50,Snacks & Sweets
Fuze Tea Zitrone,21,50.40,2.40,2.25,Getränke
"Elfx Pro Pods 0,6 Ohm",21,312.90,14.90,13.85,Vapes & Liquids
Elfbar Cherry Pods,20,239.00,11.95,11.10,Vapes & Liquids
Red Bull Summer Edition,20,56.00,2.80,2.60,Getränke
Bifi Roll,20,54.00,2.70,2.50,Snacks & Sweets
Erotik Pack,20,398.00,19.90,18.50,Mystery Packs
ELFLIQ Frozen Berries,20,239.00,11.95,11.10,Vapes & Liquids
Haribo Pico Balla,20,40.00,2.00,1.85,Snacks & Sweets
Trolli Apfelringe,19,38.00,2.00,1.85,Snacks & Sweets
Mountain Dew,19,47.50,2.50,2.30,Getränke
Somersby Apple,19,38.00,2.00,1.85,Bier & Spirituosen
Elfbar Pods Dragon Fruit Blackberry,19,227.05,11.95,11.10,Vapes & Liquids
ELFLIQ Coconut Blueberry,19,227.05,11.95,11.10,Vapes & Liquids
Gönrgy Black Acai,18,48.60,2.70,2.50,Getränke
Takis Buckin Ranch,18,63.00,3.50,3.25,Snacks & Sweets
Elfliq Mix Berries,18,215.10,11.95,11.10,Vapes & Liquids
Happy Amsterdam Amnezia Haze,18,528.10,29.35,27.30,Happy's Amsterdam
Corny XL Banane,18,27.00,1.50,1.50,Snacks & Sweets
"1,5g MeshFlash Preroll",18,286.20,15.90,14.80,Onlygrams & H3BTA
Onlygrams PREROLLS Wedding Cake,18,476.40,26.45,24.60,Onlygrams & H3BTA
Fanta Exotic,18,39.60,2.20,2.05,Getränke
Mystery Pack Elektronik,18,358.20,19.90,18.50,Mystery Packs
MoguMogu Lychee,18,48.60,2.70,2.50,Getränke
1g Onlygrams Cherry Pie Blüte,18,232.20,12.90,12.00,Onlygrams & H3BTA
Red Bull Winter Edition,17,47.60,2.80,2.60,Getränke
ELFX Pro Schwarz,17,508.30,29.90,27.80,Vapes & Liquids
Jack Daniels Lemonade,17,66.30,3.90,3.65,Bier & Spirituosen
Bounty 2er,17,25.50,1.50,1.50,Snacks & Sweets
Zarewitsch Vodka,16,40.00,2.50,2.30,Bier & Spirituosen
"Fanta Orange 0,5l",16,35.20,2.20,2.05,Getränke
Gönrgy Apfelringe,16,43.20,2.70,2.50,Getränke
Hitschies Saure Bälle Blau,16,40.00,2.50,2.30,Snacks & Sweets
Jack Daniels Berry,16,62.40,3.90,3.65,Bier & Spirituosen
LYNE Mintstorm,16,158.40,9.90,9.20,Vapes & Liquids
M&M Crispy,16,24.00,1.50,1.50,Snacks & Sweets
Monster Strawberry Dreams,16,43.20,2.70,2.50,Getränke
Nutella Go,16,40.00,2.50,2.30,Snacks & Sweets
Pfefferminz Likör,16,44.80,2.80,2.60,Bier & Spirituosen
Trolli Pfirischringe,16,32.00,2.00,1.85,Snacks & Sweets
Starbucks Vanille,15,43.50,2.90,2.70,Getränke
Pablo Superslim,15,148.50,9.90,9.20,Tabak & Drehzubehör
Toffifee,15,45.00,3.00,2.80,Snacks & Sweets
Mixery Iced Purple,15,37.50,2.50,2.30,Bier & Spirituosen
Radeberger,15,37.50,2.50,2.30,Bier & Spirituosen
1g Onlygrams Cookie Blüte,15,193.50,12.90,12.00,Onlygrams & H3BTA
Nescafe Capuccino,15,40.00,2.65,2.45,Getränke
20€ Neuware Pack,15,300.00,20.00,18.60,Mystery Packs
Gönrgy Paradise Punch Zucker,14,37.80,2.70,2.50,Getränke
Happy Amsterdam Golden Kush,14,400.60,28.60,26.60,Happy's Amsterdam
Mixery Bier x Cola,14,35.00,2.50,2.30,Bier & Spirituosen
Erdbeermilch,14,42.00,3.00,2.80,Getränke
Nescafe Latte,13,32.50,2.50,2.30,Getränke
Jim Beam Cola,13,50.70,3.90,3.65,Bier & Spirituosen
Nescafe Latte Caramel,13,32.50,2.50,2.30,Getränke
Onlygrams Blueberry Vape,13,358.90,27.60,25.65,Onlygrams & H3BTA
Jägermeister klein,13,45.50,3.50,3.25,Bier & Spirituosen
Belgische Waffel,13,26.00,2.00,1.85,Snacks & Sweets
1g Onlygrams Blueberry Muffin,13,167.70,12.90,12.00,Onlygrams & H3BTA
Elfbar Grape Ice Pods,13,155.35,11.95,11.10,Vapes & Liquids
Elfbar Peach Ice Pods,12,143.40,11.95,11.10,Vapes & Liquids
Elfbar 800 Blueberry,12,131.40,10.95,10.20,Vapes & Liquids
Jack Daniels Coca Cola Zero,12,46.80,3.90,3.65,Bier & Spirituosen
Gönrgy Mango Slam Zucker,12,32.40,2.70,2.50,Getränke
1g Onlygrams Lemon Ice Blüte,12,154.80,12.90,12.00,Onlygrams & H3BTA
1g Onlygrams Lucid Dreams Blüte,12,154.80,12.90,12.00,Onlygrams & H3BTA
Calypso Kiwi Lemonade,12,46.80,3.90,3.65,Getränke
ELFLIQ Blackberry Cherry,12,143.40,11.95,11.10,Vapes & Liquids
RandM Tornado Pro Silber,12,238.80,19.90,18.50,Vapes & Liquids
Toffifee White,12,36.00,3.00,2.80,Snacks & Sweets
FREEZES Sour Rainbow,11,27.50,2.50,2.30,Snacks & Sweets
Calypso Ocean Blue,11,42.90,3.90,3.65,Getränke
Maoam Kracher,11,16.50,1.50,1.50,Snacks & Sweets
Red Bull Green Edition,11,30.80,2.80,2.60,Getränke
FREEZES Sharky,11,27.50,2.50,2.30,Snacks & Sweets
Happy Amsterdam Cali Exotic,11,311.90,28.35,26.35,Happy's Amsterdam
Elfbar Frozen Berries Pods,11,131.45,11.95,11.10,Vapes & Liquids
Happy Amsterdam Purple Punch,11,306.90,27.90,25.95,Happy's Amsterdam
Bueno 2er,11,16.50,1.50,1.50,Snacks & Sweets
Snickers,11,16.50,1.50,1.50,Snacks & Sweets
Skittle Grün,10,15.00,1.50,1.50,Snacks & Sweets
Yumyum Chicken Cup,10,19.00,1.90,1.75,Snacks & Sweets
Elfbar Blackberry Cherry Pods,10,119.50,11.95,11.10,Vapes & Liquids
Pringles Sweet Paprika,10,20.00,2.00,1.85,Snacks & Sweets
Calypso Island Wave,10,39.00,3.90,3.65,Getränke
Gönrgy Kaktus Kick Zucker,10,27.00,2.70,2.50,Getränke
Onlygrams PREROLLS Kiwi Kush,10,279.00,27.90,25.95,Onlygrams & H3BTA
Pringles Sour Cream,10,20.00,2.00,1.85,Snacks & Sweets
Happy Amsterdam Super Lemon Haze,9,251.10,27.90,25.95,Happy's Amsterdam
Elfliq Pink Lemonade,9,107.55,11.95,11.10,Vapes & Liquids
Three Sixty Dark Berry,9,35.10,3.90,3.65,Bier & Spirituosen
Takis Volcano,9,31.50,3.50,3.25,Snacks & Sweets
Hitschies Saure BälleRot,9,22.50,2.50,2.30,Snacks & Sweets
Skruf Ice Xrta,9,89.10,9.90,9.20,Tabak & Drehzubehör
Red Bull Summer Edition 2026,9,25.20,2.80,2.60,Getränke
Calypso Triple Melon,9,35.10,3.90,3.65,Getränke
RandM Ice Pop Liquid,9,107.55,11.95,11.10,Vapes & Liquids
RandM Grape Ice Pods,9,107.55,11.95,11.10,Vapes & Liquids
MeshFlash Peach Cream,9,269.10,29.90,27.80,Onlygrams & H3BTA
Flerbar Cherry Cola,9,98.55,10.95,10.20,Vapes & Liquids
Elfbar Pink Lemonade Pods,9,107.55,11.95,11.10,Vapes & Liquids
Purize Aktivkohlefilter,9,80.10,8.90,8.30,Tabak & Drehzubehör
Yfood Choco,9,40.50,4.50,4.20,Getränke
Pringles Paprika,9,18.00,2.00,1.85,Snacks & Sweets
Elfbar 800 Mixed Berries,9,98.55,10.95,10.20,Vapes & Liquids
Yumyum Shrimp Cup,9,13.50,1.50,1.50,Snacks & Sweets
RandM Strawberry Donut Liquid,8,95.60,11.95,11.10,Vapes & Liquids
Onlygrams Wedding Cake Vape,8,234.20,29.30,27.25,Onlygrams & H3BTA
KitKat,8,12.00,1.50,1.50,Snacks & Sweets
Elfbar Pods Pineapple Acai,8,95.60,11.95,11.10,Vapes & Liquids
OG 420 Limited Edition,8,179.80,22.50,20.90,Onlygrams & H3BTA
Skittle Rot,8,12.00,1.50,1.50,Snacks & Sweets
Feigling,8,20.00,2.50,2.30,Bier & Spirituosen
Bifi,8,8.80,1.10,1.10,Snacks & Sweets
Takis Fuego,8,28.00,3.50,3.25,Snacks & Sweets
Onlygrams PREROLLS Pineapple,8,223.20,27.90,25.95,Onlygrams & H3BTA
Elfbar 800 Coconut Blueberry,8,87.60,10.95,10.20,Vapes & Liquids
Panini Sticker,8,20.00,2.50,2.30,Sonstiges & Trend
Happy Amsterdam Cherry Kush,8,227.20,28.40,26.40,Happy's Amsterdam
Fanta Fruit Twist,8,16.00,2.00,1.85,Getränke
Durex 3er,8,47.20,5.90,5.50,Sonstiges & Trend
effect Vodka Energy,8,28.00,3.50,3.25,Bier & Spirituosen
FREEZES Rainbow,8,20.00,2.50,2.30,Snacks & Sweets
Labubu White Schokolade,7,17.50,2.50,2.30,Snacks & Sweets
Nescafe Espresso Machiatto,7,17.50,2.50,2.30,Getränke
ELFLIQ Blackberry Lemon,7,95.60,13.65,12.70,Vapes & Liquids
Onlygrams Strawberry Cough Prerolls,7,195.30,27.90,25.95,Onlygrams & H3BTA
Lipton Sparkling Pfirisch,7,14.00,2.00,1.85,Getränke
Red Bull Summer Edition 2026 zuckerfrei,7,19.60,2.80,2.60,Getränke
Happy Amsterdam Forbidden Fruit,7,197.30,28.20,26.25,Happy's Amsterdam
Elfbar 800 Cherry,7,76.65,10.95,10.20,Vapes & Liquids
Fanta Mango Drachenfrucht,7,15.40,2.20,2.05,Getränke
Kakaomilch,7,21.00,3.00,2.80,Getränke
Elfbar Pods Pineapple Coconut,7,83.65,11.95,11.10,Vapes & Liquids
RandM Pink Lemonade Liquid,7,83.65,11.95,11.10,Vapes & Liquids
Elfbar Apple Peach Pods,7,83.65,11.95,11.10,Vapes & Liquids
RandM Tropical Energy Liquid,7,83.65,11.95,11.10,Vapes & Liquids
"Becks 0,5",7,20.30,2.90,2.70,Bier & Spirituosen
YumYum Chicken,7,10.50,1.50,1.50,Snacks & Sweets
Elfbar Mix Berries Pods,7,83.65,11.95,11.10,Vapes & Liquids
Siberia White Dry,6,59.40,9.90,9.20,Tabak & Drehzubehör
ELFLIQ Pineapple Coconut,6,83.65,13.95,12.95,Vapes & Liquids
Mars,6,9.00,1.50,1.50,Snacks & Sweets
Mezzo Mix,6,13.80,2.30,2.15,Getränke
Milka Schokomilch,6,18.00,3.00,2.80,Getränke
M&M Choco,6,9.00,1.50,1.50,Snacks & Sweets
YumYum Duck Cup,6,9.00,1.50,1.50,Snacks & Sweets
Onlygrams Blackberry Ice Vape,6,179.40,29.90,27.80,Onlygrams & H3BTA
Paulaner Limo Orange,6,12.00,2.00,1.85,Getränke
RandM Grape Ice Liquid,6,71.70,11.95,11.10,Vapes & Liquids
Crazy Dips,6,9.00,1.50,1.50,Snacks & Sweets
Elfliq Grape,5,59.75,11.95,11.10,Vapes & Liquids
Erdnüsse,5,10.00,2.00,1.85,Snacks & Sweets
Kong Crunch Cheese,5,17.50,3.50,3.25,Snacks & Sweets
Massiv Zahnstocher Bruderherz,5,34.50,6.90,6.40,Sonstiges & Trend
Elfliq Sour Apple,5,59.75,11.95,11.10,Vapes & Liquids
H3BTA Red Runtz,5,129.50,25.90,24.10,Onlygrams & H3BTA
Elfbar 800 Dragon Fruit Strawberry,5,54.75,10.95,10.20,Vapes & Liquids
Hitschies Blaue Schnüre,5,12.50,2.50,2.30,Snacks & Sweets
Elfbar Lemon Mint Pods,5,59.75,11.95,11.10,Vapes & Liquids
Starbucks Creamy Coffee,5,14.50,2.90,2.70,Getränke
Hitschies Saure Spinnenbeine,5,12.50,2.50,2.30,Snacks & Sweets
Elfbar Blueberry Snoow Pods,5,59.75,11.95,11.10,Vapes & Liquids
Hubba Blau,5,12.50,2.50,2.30,Snacks & Sweets
Reeses 2er,5,8.00,1.60,1.50,Snacks & Sweets
Elfliq Strawberry Raspberry Cherry Ice,5,59.75,11.95,11.10,Vapes & Liquids
RandM StrawberryWatermelon Bubblegum Liquid,4,47.80,11.95,11.10,Vapes & Liquids
Onlygrams Kiwi Kush Vape,4,119.60,29.90,27.80,Onlygrams & H3BTA
RandM Blue Razz Cherry Liquid,4,47.80,11.95,11.10,Vapes & Liquids
Elfbar Pods Cola Orange,4,47.80,11.95,11.10,Vapes & Liquids
Effect Habibiberry,4,10.00,2.50,2.30,Getränke
ELFLIQ Cherry Cola,4,47.80,11.95,11.10,Vapes & Liquids
Buldak Huhn Scharf,4,10.00,2.50,2.30,Snacks & Sweets
ELFLIQ Lemon Mint,4,47.80,11.95,11.10,Vapes & Liquids
Hubba Pink,4,10.00,2.50,2.30,Snacks & Sweets
Hitschies Saure Drachenzungen Rot,4,10.00,2.50,2.30,Snacks & Sweets
ELFLIQ Lemon Peach Passion Fruit,4,47.80,11.95,11.10,Vapes & Liquids
Havanna Club Cola,4,14.00,3.50,3.25,Bier & Spirituosen
Hanuta,4,8.00,2.00,1.85,Snacks & Sweets
Elfx Mega Schwarz,4,99.60,24.90,23.15,Vapes & Liquids
LYNE Berrypunch,3,29.70,9.90,9.20,Vapes & Liquids
24SEVEN Duftbaum Dark Ice,3,6.00,2.00,1.85,Sonstiges & Trend
Elfliq Peach Ice,3,35.85,11.95,11.10,Vapes & Liquids
Berliner Luft,3,36.00,12.00,11.15,Bier & Spirituosen
M&M Peanut,3,4.50,1.50,1.50,Snacks & Sweets
Kong Crunch Blue Flame,3,10.50,3.50,3.25,Snacks & Sweets
Elfx Mega Leer Pod 10ML,3,29.70,9.90,9.20,Vapes & Liquids
Elfbar Blue Razz Lemonade Pods,3,35.85,11.95,11.10,Vapes & Liquids
Elfliq Blackberry Ice,3,35.85,11.95,11.10,Vapes & Liquids
Duplo 2er,3,4.50,1.50,1.50,Snacks & Sweets
Fanta Lemon Elderflower,3,6.60,2.20,2.05,Getränke
HighPuffs Mango Bliss Vape,3,74.70,24.90,23.15,Onlygrams & H3BTA
Elfbar 800 Strawberry Apricot,3,32.85,10.95,10.20,Vapes & Liquids
RandM Cola Ice Liquid,3,35.85,11.95,11.10,Vapes & Liquids
Massiv Zahnstocher Nightkiller,3,20.70,6.90,6.40,Sonstiges & Trend
Elfliq Kiwi Passion Fruit Guava,3,35.85,11.95,11.10,Vapes & Liquids
Buldak Huhn Extra Scharf,3,7.50,2.50,2.30,Snacks & Sweets
ELFLIQ Watermelon,3,35.85,11.95,11.10,Vapes & Liquids
Flerbar Cola Ice,3,32.85,10.95,10.20,Vapes & Liquids
Happy Amsterdam Mango Safari,3,87.70,29.25,27.20,Happy's Amsterdam
1g H3BTA Blackberry Kush Preroll,2,29.80,14.90,13.85,Onlygrams & H3BTA
Daim,2,3.00,1.50,1.50,Snacks & Sweets
Elfliq Cherry,2,23.90,11.95,11.10,Vapes & Liquids
Mentos Pure Kirsch,2,7.00,3.50,3.25,Snacks & Sweets
Jim Beam Cola Zero,2,7.80,3.90,3.65,Bier & Spirituosen
Calypso Blood Orange Zero,2,5.00,2.50,2.30,Getränke
Siberia Rot Minis,2,15.80,7.90,7.35,Tabak & Drehzubehör
RandM Blue Razz Cherry Pods,2,23.90,11.95,11.10,Vapes & Liquids
Starbucks Mocha Delight,2,5.80,2.90,2.70,Getränke
Yfood Vanille,2,9.00,4.50,4.20,Getränke
Tabby Chicken Schokolade,2,7.80,3.90,3.65,Snacks & Sweets
Elfbar Kiwi Passion Fruit Guava Pods,2,23.90,11.95,11.10,Vapes & Liquids
Airwaves Cool Cassis,2,7.80,3.90,3.65,Snacks & Sweets
HighPuff OG Kush Vape,2,49.80,24.90,23.15,Onlygrams & H3BTA
Onlygrams Frozen Berries Vape,2,59.80,29.90,27.80,Onlygrams & H3BTA
Tornado Pro Pods,2,29.80,14.90,13.85,Vapes & Liquids
2g Green8 Black Ice,2,49.80,24.90,23.15,Onlygrams & H3BTA
YumYum Duck,2,3.00,1.50,1.50,Snacks & Sweets
Onlygrams Dragon Fruit Blackberry Vape,2,59.80,29.90,27.80,Onlygrams & H3BTA
RandM Mango Ice Liquid,2,23.90,11.95,11.10,Vapes & Liquids
Paulberger Peach,2,5.00,2.50,2.30,Bier & Spirituosen
RandM StrawberryWatermelon Liquid,2,23.90,11.95,11.10,Vapes & Liquids
Massiv Sommer in Beirut Zahnstocher,2,13.80,6.90,6.40,Sonstiges & Trend
Massiv Blaulicht Zahnstocher,2,13.80,6.90,6.40,Sonstiges & Trend
Mentos Pure Fresh,1,3.50,3.50,3.25,Snacks & Sweets
Skruf Ice,1,9.90,9.90,9.20,Tabak & Drehzubehör
YumYum Beef,1,1.50,1.50,1.50,Snacks & Sweets
H3BTA Super Lemon Haze,1,24.90,24.90,23.15,Onlygrams & H3BTA
MeshFlash Traube Minze,1,29.90,29.90,27.80,Onlygrams & H3BTA
Vodka Gorbatschow,1,14.00,14.00,13.00,Bier & Spirituosen
4Blockz Black Amnezia,1,29.90,29.90,27.80,Onlygrams & H3BTA
4Blockz Berry Kush,1,24.90,24.90,23.15,Onlygrams & H3BTA
Extra Professional Fresh,1,3.90,3.90,3.65,Snacks & Sweets
RandM Blueberry Pods,1,11.95,11.95,11.10,Vapes & Liquids
RandM Love61 Pods,1,11.95,11.95,11.10,Vapes & Liquids
2g Green8 Skittlez,1,24.90,24.90,23.15,Onlygrams & H3BTA
LYNE Mangosplash,1,9.90,9.90,9.20,Vapes & Liquids
Extra Professional White,1,3.90,3.90,3.65,Snacks & Sweets
Hitschies Schnüre Grün,1,2.50,2.50,2.30,Snacks & Sweets
Wunder Zahnstocher Icebonbon,1,4.90,4.90,4.55,Sonstiges & Trend
Elfbar 800 Kiwi Passion Fruit Guava,1,10.95,10.95,10.20,Vapes & Liquids
Energy Mix 6er-Pack,,,16.00,13.90,Bundles & Deals
Drehset Klassiker – Pueblo + Gizeh (18+),,,10.75,9.90,Bundles & Deals
H3BTA Haze Trio – 3× 1 g (18+),,,38.70,34.90,Bundles & Deals
Happy's Amsterdam 3er-Set (18+),,,89.70,79.90,Bundles & Deals
Onlygrams Vape Duo – 2 Sorten (18+),,,59.80,54.90,Bundles & Deals
Elfbar Pods Trio – 3× 2er-Pack (18+),,,35.85,31.90,Bundles & Deals
Snack Attack Box,,,15.00,12.90,Bundles & Deals
Feierabend-Paket (18+),,,9.70,8.90,Bundles & Deals
