Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status,Collection
onlygrams-peach-ice,Onlygrams – Peach Ice,"<p>Onlygrams, Sorte Peach Ice – wie am Automaten, online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",Onlygrams,Cannabinoid-Produkt,"onlygrams, age_restricted",TRUE,Title,Default Title,OG-PI,shopify,14,deny,manual,19.90,24.90,TRUE,TRUE,active,Onlygrams & H3BTA
onlygrams-blueberry,Onlygrams – Blueberry,"<p>Onlygrams, Sorte Blueberry – wie am Automaten, online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",Onlygrams,Cannabinoid-Produkt,"onlygrams, age_restricted",TRUE,Title,Default Title,OG-BB,shopify,11,deny,manual,19.90,24.90,TRUE,TRUE,active,Onlygrams & H3BTA
onlygrams-blackberry,Onlygrams – Blackberry,"<p>Onlygrams, Sorte Blackberry – wie am Automaten, online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",Onlygrams,Cannabinoid-Produkt,"onlygrams, age_restricted, neu",TRUE,Title,Default Title,OG-BLK,shopify,7,deny,manual,19.90,24.90,TRUE,TRUE,active,Onlygrams & H3BTA
h3bta-black-amnezia,H3BTA – Black Amnezia,"<p>H3BTA, Sorte Black Amnezia – wie am Automaten, online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",H3BTA,Cannabinoid-Produkt,"h3bta, age_restricted",TRUE,Title,Default Title,H3-BA,shopify,9,deny,manual,22.90,27.90,TRUE,TRUE,active,Onlygrams & H3BTA
h3bta-lemon-og,H3BTA – Lemon OG,"<p>H3BTA, Sorte Lemon OG – wie am Automaten, online günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen; Produktangaben siehe Verpackung.</p>",H3BTA,Cannabinoid-Produkt,"h3bta, age_restricted, neu",TRUE,Title,Default Title,H3-LOG,shopify,6,deny,manual,22.90,27.90,TRUE,TRUE,active,Onlygrams & H3BTA
red-bull-energy-250ml,Red Bull Energy Drink 250 ml,"<p>Der Klassiker aus dem Kühlregal – eiskalt am besten. Koffeinhaltig. Pfandartikel (0,25 € Einwegpfand).</p>",Red Bull,Energy Drink,"getraenke, energy, bestseller",TRUE,Title,Default Title,RB-250,shopify,120,deny,manual,1.69,1.99,TRUE,TRUE,active,Getränke
monster-energy-ultra-500ml,Monster Energy Ultra 500 ml,"<p>Monster Ultra – zuckerfrei, voller Geschmack. Koffeinhaltig. Pfandartikel (0,25 € Einwegpfand).</p>",Monster,Energy Drink,"getraenke, energy",TRUE,Title,Default Title,MON-ULTRA,shopify,80,deny,manual,1.99,2.49,TRUE,TRUE,active,Getränke
rockstar-punched-500ml,Rockstar Punched Tropical Punch 500 ml,"<p>Rockstar Punched – tropischer Punch mit Koffein. Pfandartikel (0,25 € Einwegpfand).</p>",Rockstar,Energy Drink,"getraenke, energy",TRUE,Title,Default Title,RS-PUN,shopify,60,deny,manual,1.79,2.29,TRUE,TRUE,active,Getränke
coca-cola-330ml,Coca-Cola 330 ml,"<p>Die klassische Coke in der Dose. Pfandartikel (0,25 € Einwegpfand).</p>",Coca-Cola,Softdrink,"getraenke, softdrink",TRUE,Title,Default Title,CC-330,shopify,150,deny,manual,1.29,1.59,TRUE,TRUE,active,Getränke
fanta-exotic-330ml,Fanta Exotic 330 ml,"<p>Fanta Exotic – fruchtig-exotisch, gut gekühlt am besten. Pfandartikel (0,25 € Einwegpfand).</p>",Fanta,Softdrink,"getraenke, softdrink",TRUE,Title,Default Title,FA-EX,shopify,90,deny,manual,1.29,1.59,TRUE,TRUE,active,Getränke
prime-hydration-ice-pop,Prime Hydration Ice Pop 500 ml,"<p>Prime Hydration Ice Pop – der Trend-Drink aus den USA. Ohne Kohlensäure, mit Kokoswasser. Pfandartikel (0,25 € Einwegpfand).</p>",Prime,Trend-Drink,"getraenke, trend, us-import, bestseller",TRUE,Title,Default Title,PRIME-IP,shopify,25,deny,manual,3.49,4.99,TRUE,TRUE,active,Getränke
arizona-green-tea-500ml,AriZona Green Tea Honey 500 ml,"<p>AriZona Green Tea mit Honig – US-Kult-Eistee. Pfandartikel (0,25 € Einwegpfand).</p>",AriZona,Eistee,"getraenke, eistee, us-import",TRUE,Title,Default Title,AZ-GT,shopify,40,deny,manual,2.29,2.79,TRUE,TRUE,active,Getränke
calypso-ocean-blue-473ml,Calypso Ocean Blue Lemonade 473 ml,"<p>Calypso Ocean Blue – knallblaue US-Limonade mit Zitrone. Pfandartikel (0,25 € Einwegpfand).</p>",Calypso,Trend-Drink,"getraenke, trend, us-import, neu",TRUE,Title,Default Title,CAL-OB,shopify,30,deny,manual,2.99,3.49,TRUE,TRUE,active,Getränke
fritz-kola-330ml,Fritz-Kola 330 ml,"<p>Fritz-Kola – viel Koffein, wenig Blabla. Pfandartikel (0,08 € Mehrwegpfand).</p>",Fritz-Kola,Softdrink,"getraenke, softdrink",TRUE,Title,Default Title,FK-330,shopify,45,deny,manual,1.69,1.99,TRUE,TRUE,active,Getränke
takis-fuego-90g,Takis Fuego 90 g,"<p>Takis Fuego – die extrascharfen Rolled Tortilla Chips mit Chili und Limette. Der Automaten-Bestseller.</p>",Takis,Chips,"snacks, us-import, bestseller",TRUE,Title,Default Title,TAK-FU,shopify,55,deny,manual,2.99,3.49,TRUE,TRUE,active,Snacks & Sweets
doritos-nacho-cheese-110g,Doritos Nacho Cheese 110 g,"<p>Doritos Nacho Cheese – der Klassiker für die Session.</p>",Doritos,Chips,snacks,TRUE,Title,Default Title,DOR-NC,shopify,70,deny,manual,2.19,2.59,TRUE,TRUE,active,Snacks & Sweets
cheetos-crunchy-flamin-hot,Cheetos Crunchy Flamin' Hot (US) 226 g,"<p>Cheetos Flamin' Hot in der großen US-Tüte – scharf, käsig, süchtig machend gut.</p>",Cheetos,Chips,"snacks, us-import, neu",TRUE,Title,Default Title,CHE-FH,shopify,18,deny,manual,3.99,4.49,TRUE,TRUE,active,Snacks & Sweets
kinder-bueno-2er,Kinder Bueno 2er,"<p>Kinder Bueno – Milch-Haselnuss-Riegel im Doppelpack.</p>",Ferrero,Süßwaren,"sweets, snacks",TRUE,Title,Default Title,KB-2ER,shopify,95,deny,manual,1.19,1.49,TRUE,TRUE,active,Snacks & Sweets
toxic-waste-sour-candy,Toxic Waste Sour Candy Drum,"<p>Toxic Waste – extrem saure Bonbons im Kult-Fässchen. Trau dich!</p>",Toxic Waste,Süßwaren,"sweets, us-import, trend",TRUE,Title,Default Title,TW-DRUM,shopify,22,deny,manual,2.49,2.99,TRUE,TRUE,active,Snacks & Sweets
nerds-gummy-clusters,Nerds Gummy Clusters 141 g,"<p>Nerds Gummy Clusters – knusprig-fruchtige US-Candy, TikTok-berühmt.</p>",Nerds,Süßwaren,"sweets, us-import, trend, bestseller",TRUE,Title,Default Title,NER-GC,shopify,16,deny,manual,4.49,5.49,TRUE,TRUE,active,Snacks & Sweets
haribo-goldbaeren-175g,Haribo Goldbären 175 g,"<p>Haribo Goldbären – der Klassiker für zwischendurch.</p>",Haribo,Süßwaren,sweets,TRUE,Title,Default Title,HAR-GB,shopify,110,deny,manual,1.49,1.79,TRUE,TRUE,active,Snacks & Sweets
pringles-original-165g,Pringles Original 165 g,"<p>Pringles Original in der Dose – once you pop…</p>",Pringles,Chips,snacks,TRUE,Title,Default Title,PRI-OR,shopify,48,deny,manual,2.79,3.29,TRUE,TRUE,active,Snacks & Sweets
mms-peanut-us-share,M&M's Peanut US Share Bag 288 g,"<p>M&M's Peanut in der großen US-Sharing-Tüte.</p>",M&M's,Süßwaren,"sweets, us-import",TRUE,Title,Default Title,MM-PNT,shopify,26,deny,manual,3.99,4.79,TRUE,TRUE,active,Snacks & Sweets
pueblo-classic-drehtabak-30g,Pueblo Classic Drehtabak 30 g,"<p>Pueblo Classic – Feinschnitt-Drehtabak ohne Zusatzstoffe, 30-g-Beutel.</p><p>Rauchen fügt Ihnen und den Menschen in Ihrer Umgebung erheblichen Schaden zu. Abgabe nur ab 18 Jahren.</p>",Pueblo,Drehtabak,"tabak, age_restricted",TRUE,Title,Default Title,PUE-30,shopify,35,deny,manual,8.90,9.50,TRUE,TRUE,active,Tabak & Drehzubehör
chesterfield-original-volumen,Chesterfield Original Volumentabak 110 g,"<p>Chesterfield Original – Volumentabak in der Eimerdose, 110 g.</p><p>Rauchen fügt Ihnen und den Menschen in Ihrer Umgebung erheblichen Schaden zu. Abgabe nur ab 18 Jahren.</p>",Chesterfield,Volumentabak,"tabak, age_restricted",TRUE,Title,Default Title,CHF-110,shopify,20,deny,manual,27.90,29.90,TRUE,TRUE,active,Tabak & Drehzubehör
ocb-premium-slim-blaettchen,OCB Premium Slim Longpapers,"<p>OCB Premium Slim – ultradünne King-Size-Longpapers, 32 Blatt.</p>",OCB,Blättchen,drehzubehoer,TRUE,Title,Default Title,OCB-PS,shopify,140,deny,manual,1.19,1.49,TRUE,TRUE,active,Tabak & Drehzubehör
ocb-filter-tips-slim,OCB Filter Tips Slim 120 Stück,"<p>OCB Slim-Filter, 6 mm, Beutel mit 120 Stück.</p>",OCB,Filter,drehzubehoer,TRUE,Title,Default Title,OCB-FT,shopify,100,deny,manual,1.99,2.49,TRUE,TRUE,active,Tabak & Drehzubehör
raw-tips-natural,RAW Tips Natural,"<p>RAW Tips – ungebleichte Filtertips aus Naturpapier, 50 Blatt.</p>",RAW,Tips,drehzubehoer,TRUE,Title,Default Title,RAW-TIP,shopify,85,deny,manual,0.99,1.29,TRUE,TRUE,active,Tabak & Drehzubehör
smoking-blue-king-size,Smoking Blue King Size Papers,"<p>Smoking Blue – King-Size-Papers aus Reispapier, 33 Blatt.</p>",Smoking,Blättchen,drehzubehoer,TRUE,Title,Default Title,SMK-BL,shopify,75,deny,manual,1.29,1.59,TRUE,TRUE,active,Tabak & Drehzubehör
alu-grinder-4-teilig-50mm,Alu-Grinder 4-teilig 50 mm,"<p>4-teiliger Aluminium-Grinder mit Sieb und Magnetdeckel, Ø 50 mm.</p>",24SEVEN,Grinder,"drehzubehoer, neu",TRUE,Farbe,Schwarz,GRD-BK,shopify,14,deny,manual,12.90,14.90,TRUE,TRUE,active,Tabak & Drehzubehör
alu-grinder-4-teilig-50mm,,,,,,,Farbe,Lila,GRD-PU,shopify,5,deny,manual,12.90,14.90,TRUE,TRUE,active,
clipper-feuerzeug,Clipper Feuerzeug,"<p>Das Kult-Feuerzeug – nachfüllbar, mit wechselbarem Feuerstein. Motiv-Auswahl.</p>",Clipper,Feuerzeug,drehzubehoer,TRUE,Motiv,Leaf,CLP-LF,shopify,60,deny,manual,1.99,2.49,TRUE,TRUE,active,Tabak & Drehzubehör
clipper-feuerzeug,,,,,,,Motiv,Space,CLP-SP,shopify,50,deny,manual,1.99,2.49,TRUE,TRUE,active,
clipper-feuerzeug,,,,,,,Motiv,Neon,CLP-NE,shopify,40,deny,manual,1.99,2.49,TRUE,TRUE,active,
mystery-pack-elektronik,Mystery Pack Elektronik,"<p>Unser Impulskauf-Bestseller vom Automaten – jetzt online! Überraschungsbox mit Elektronik-Gadgets im Wert von mindestens 40 €. Inhalt bleibt geheim – genau das ist der Spaß.</p><p>Hinweis: Umtausch des Inhalts ausgeschlossen, Widerrufsrecht bleibt unberührt.</p>",24SEVEN,Mystery Pack,"mystery, bestseller",TRUE,Title,Default Title,MYS-ELEK,shopify,15,deny,manual,29.90,39.90,TRUE,TRUE,active,Mystery Packs
mystery-pack-snacks-usa,Mystery Pack US-Snacks,"<p>Überraschungsbox voller US-Snacks und Trend-Candy im Wert von mindestens 25 €. Perfekt zum Testen neuer Sorten.</p>",24SEVEN,Mystery Pack,"mystery, neu",TRUE,Title,Default Title,MYS-SNACK,shopify,20,deny,manual,19.90,24.90,TRUE,TRUE,active,Mystery Packs
mystery-pack-vape,Mystery Pack Vape (18+),"<p>Überraschungsbox mit 3 Einweg-Vapes verschiedener Marken (TPD2-konform, je 2 ml / 20 mg/ml). Sorten-Überraschung!</p><p>Enthält Nikotin – ein Stoff, der abhängig macht. Abgabe nur ab 18 Jahren.</p>",24SEVEN,Mystery Pack,"mystery, vape, nikotin, age_restricted",TRUE,Title,Default Title,MYS-VAPE,shopify,12,deny,manual,24.90,29.90,TRUE,TRUE,active,Mystery Packs
vape-trio-mix,Vape Trio Mix – 3er Spar-Set (18+),"<p>Spar-Set: 3 Einweg-Vapes nach Wahl unseres Teams (Elf Bar, Lost Mary, 187 o. ä.) – rund 10 % günstiger als im Einzelkauf.</p><p>Enthält Nikotin – ein Stoff, der abhängig macht. Abgabe nur ab 18 Jahren. TPD2-konform: je 2 ml / 20 mg/ml.</p>",24SEVEN,Bundle,"bundle, vape, nikotin, age_restricted, bestseller",TRUE,Title,Default Title,BND-VAPE3,shopify,18,deny,manual,22.90,25.47,TRUE,TRUE,active,Bundles & Deals
snack-attack-box,Snack Attack Box,"<p>Bundle: 2× Chips (Takis/Doritos), 2× Candy (Nerds/Toxic Waste), 2× Drink (Prime/Calypso) – die komplette Movie-Night, fertig gepackt und günstiger als einzeln.</p>",24SEVEN,Bundle,"bundle, snacks",TRUE,Title,Default Title,BND-SNACK,shopify,25,deny,manual,14.90,17.90,TRUE,TRUE,active,Bundles & Deals
happys-amsterdam-3er-set,Happy's Amsterdam 3er-Set (18+),"<p>Bundle: 3 Sorten Happy's Amsterdam nach Wahl unseres Teams (z. B. Forbidden Fruit, Mango Safari, Golden Kush). Am Automaten 89,70 € – online deutlich günstiger.</p><p>Abgabe nur ab 18 Jahren. Hinweis: Verkauf nur im rechtlich zulässigen Rahmen.</p>",Happy's Amsterdam,Bundle,"bundle, happys, age_restricted",TRUE,Title,Default Title,BND-HAPPY3,shopify,8,deny,manual,67.90,74.70,TRUE,TRUE,active,Bundles & Deals
session-kit,Session Kit – Drehzubehör-Bundle,"<p>Bundle: OCB Premium Slim Papers, OCB Filter Tips, RAW Tips, Clipper Feuerzeug und 4-teiliger Alu-Grinder – alles für die Session in einer Box, günstiger als einzeln.</p>",24SEVEN,Bundle,"bundle, drehzubehoer",TRUE,Title,Default Title,BND-SESSION,shopify,15,deny,manual,16.90,19.90,TRUE,TRUE,active,Bundles & Deals
energy-6-pack,Energy 6-Pack,"<p>Bundle: 6 Dosen Energy gemischt (Red Bull, Monster Ultra, Rockstar) – der Wochenvorrat, günstiger als einzeln. Zzgl. Pfand.</p>",24SEVEN,Bundle,"bundle, getraenke, energy",TRUE,Title,Default Title,BND-ENERGY6,shopify,30,deny,manual,9.49,11.94,TRUE,TRUE,active,Bundles & Deals
